Test Case,Request Number,Response Time (ms)
Case 2,16,63.86709213256836
Case 2,17,58.13026428222656
Case 2,18,60.50395965576172
Case 2,19,54.37898635864258
Case 2,20,60.21380424499512
Case 2,21,58.31408500671387
Case 2,22,62.349796295166016
Case 2,23,52.43706703186035
Case 2,24,53.91192436218262
Case 2,25,52.75082588195801
Case 2,26,57.53302574157715
Case 2,27,57.03592300415039
Case 2,28,69.9911117553711
Case 2,29,60.907840728759766
Case 2,30,54.86893653869629
Case 2,31,52.778005599975586
Case 2,32,55.049896240234375
Case 2,33,92.96226501464844
Case 2,34,58.92181396484375
Case 2,35,59.76700782775879
Case 2,36,56.121826171875
Case 2,37,55.43398857116699
Case 2,38,60.89210510253906
Case 2,39,55.15098571777344
Case 2,40,55.9999942779541
Case 2,41,56.68377876281738
Case 2,42,59.47089195251465
Case 2,43,57.183027267456055
Case 2,44,55.47690391540527
Case 2,45,53.2071590423584
Case 2,46,53.56407165527344
Case 2,47,58.554887771606445
Case 2,48,59.34405326843262
Case 2,49,57.71493911743164
Case 2,50,57.334184646606445
Case 2,51,59.59200859069824
Case 2,52,74.93019104003906
Case 2,53,58.6240291595459
Case 2,54,60.48727035522461
Case 2,55,61.61189079284668
Case 2,56,69.12398338317871
Case 2,57,57.89017677307129
Case 2,58,63.278913497924805
Case 2,59,56.85710906982422
Case 2,60,56.91409111022949
Case 2,61,60.81676483154297
Case 2,62,60.621023178100586
Case 2,63,55.73916435241699
Case 2,64,59.23104286193848
Case 2,65,54.59403991699219
Case 2,66,54.592132568359375
Case 2,67,61.016082763671875
Case 2,68,57.908058166503906
Case 2,69,60.95623970031738
Case 2,70,60.32991409301758
Case 2,71,59.58104133605957
Case 2,72,65.07301330566406
Case 2,73,56.15091323852539
Case 2,74,56.86211585998535
Case 2,75,54.24213409423828
Case 2,76,56.82110786437988
Case 2,77,54.804086685180664
Case 2,78,57.50465393066406
Case 2,79,59.85307693481445
Case 2,80,63.384056091308594
Case 2,81,59.98802185058594
Case 2,82,62.252044677734375
Case 2,83,59.84306335449219
Case 2,84,60.1198673248291
Case 2,85,61.337947845458984
Case 2,86,74.2790699005127
Case 2,87,62.708139419555664
Case 2,88,52.718162536621094
Case 2,89,58.05397033691406
Case 2,90,61.41996383666992
Case 2,91,57.01589584350586
Case 2,92,57.56115913391113
Case 2,93,54.32295799255371
Case 2,94,54.97121810913086
Case 2,95,60.716867446899414
Case 2,96,55.04775047302246
Case 2,97,57.53803253173828
Case 2,98,57.358741760253906
Case 2,99,60.27698516845703
Case 2,100,54.59904670715332
Case 3,1,56.48398399353027
Case 3,2,55.676937103271484
Case 3,3,54.978132247924805
Case 3,4,56.30326271057129
Case 3,5,58.98404121398926
Case 3,6,60.9893798828125
Case 3,7,65.72294235229492
Case 3,8,66.94722175598145
Case 3,9,60.84895133972168
Case 3,10,56.233882904052734
Case 3,11,56.74600601196289
Case 3,12,56.99300765991211
Case 3,13,60.53924560546875
Case 3,14,59.021949768066406
Case 3,15,56.262969970703125
Case 3,16,60.45222282409668
Case 3,17,59.72099304199219
Case 3,18,56.00905418395996
Case 3,19,59.168100357055664
Case 3,20,57.19494819641113
Case 3,21,60.98794937133789
Case 3,22,65.43207168579102
Case 3,23,57.412147521972656
Case 3,24,58.088064193725586
Case 3,25,57.37423896789551
Case 3,26,203.68170738220215
Case 3,27,58.732032775878906
Case 3,28,55.731773376464844
Case 3,29,53.43198776245117
Case 3,30,53.24697494506836
Case 3,31,56.74004554748535
Case 3,32,81.85696601867676
Case 3,33,159.98387336730957
Case 3,34,135.91623306274414
Case 3,35,61.328887939453125
Case 3,36,135.8041763305664
Case 3,37,58.60495567321777
Case 3,38,62.42108345031738
Case 3,39,57.31606483459473
Case 3,40,123.68321418762207
Case 3,41,56.945085525512695
Case 3,42,134.4771385192871
Case 3,43,54.53991889953613
Case 3,44,58.7460994720459
Case 3,45,55.31907081604004
Case 3,46,56.017160415649414
Case 3,47,132.2317123413086
Case 3,48,57.13772773742676
Case 3,49,134.7219944000244
Case 3,50,58.225154876708984
Case 3,51,58.091163635253906
Case 3,52,55.454254150390625
Case 3,53,135.45608520507812
Case 3,54,56.75315856933594
Case 3,55,133.17084312438965
Case 3,56,61.177730560302734
Case 3,57,56.06985092163086
Case 3,58,55.564165115356445
Case 3,59,55.891990661621094
Case 3,60,144.95420455932617
Case 3,61,67.19398498535156
Case 3,62,131.7610740661621
Case 3,63,58.36009979248047
Case 3,64,59.6921443939209
Case 3,65,53.560733795166016
Case 3,66,140.1200294494629
Case 3,67,58.13097953796387
Case 3,68,138.1838321685791
Case 3,69,57.91878700256348
Case 3,70,59.63897705078125
Case 3,71,57.168006896972656
Case 3,72,211.99703216552734
Case 3,73,131.66022300720215
Case 3,74,63.02618980407715
Case 3,75,60.64891815185547
Case 3,76,56.37407302856445
Case 3,77,126.94287300109863
Case 3,78,60.708045959472656
Case 3,79,131.96682929992676
Case 3,80,55.457115173339844
Case 3,81,53.39384078979492
Case 3,82,53.472042083740234
Case 3,83,53.92003059387207
Case 3,84,147.92180061340332
Case 3,85,60.43696403503418
Case 3,86,123.88181686401367
Case 3,87,58.89010429382324
Case 3,88,56.56003952026367
Case 3,89,53.748130798339844
Case 3,90,140.58279991149902
Case 3,91,55.03106117248535
Case 3,92,133.3770751953125
Case 3,93,56.874990463256836
Case 3,94,57.3270320892334
Case 3,95,57.54399299621582
Case 3,96,55.683135986328125
Case 3,97,134.17696952819824
Case 3,98,59.15713310241699
Case 3,99,131.10709190368652
Case 3,100,56.60581588745117
Case 4,1,54.039955139160156
Case 4,2,56.185245513916016
Case 4,3,141.18409156799316
Case 4,4,59.9360466003418
Case 4,5,130.34796714782715
Case 4,6,56.97178840637207
Case 4,7,56.83088302612305
Case 4,8,58.31599235534668
Case 4,9,58.300018310546875
Case 4,10,129.28533554077148
Case 4,11,73.2719898223877
Case 4,12,139.6629810333252
Case 4,13,61.77806854248047
Case 4,14,58.42280387878418
Case 4,15,56.909799575805664
Case 4,16,138.99683952331543
Case 4,17,59.68475341796875
Case 4,18,128.79109382629395
Case 4,19,55.73129653930664
Case 4,20,56.90622329711914
Case 4,21,55.40800094604492
Case 4,22,136.2161636352539
Case 4,23,55.89032173156738
Case 4,24,136.20495796203613
Case 4,25,55.60183525085449
Case 4,26,59.799909591674805
Case 4,27,58.5019588470459
Case 4,28,58.49003791809082
Case 4,29,125.91409683227539
Case 4,30,54.33511734008789
Case 4,31,137.24303245544434
Case 4,32,54.58712577819824
Case 4,33,66.07675552368164
Case 4,34,56.38408660888672
Case 4,35,128.97896766662598
Case 4,36,56.33115768432617
Case 4,37,134.6895694732666
Case 4,38,54.141998291015625
Case 4,39,53.555965423583984
Case 4,40,56.15997314453125
Case 4,41,57.77716636657715
Case 4,42,139.45388793945312
Case 4,43,57.33227729797363
Case 4,44,131.15978240966797
Case 4,45,57.11698532104492
Case 4,46,62.40415573120117
Case 4,47,56.021690368652344
Case 4,48,130.3858757019043
Case 4,49,55.845022201538086
Case 4,50,137.908935546875
Case 4,51,55.22775650024414
Case 4,52,62.10780143737793
Case 4,53,57.48581886291504
Case 4,54,56.561946868896484
Case 4,55,138.05913925170898
Case 4,56,58.34794044494629
Case 4,57,59.05604362487793
Case 4,58,55.77278137207031
Case 4,59,56.71501159667969
Case 4,60,54.968833923339844
Case 4,61,57.85012245178223
Case 4,62,143.5089111328125
Case 4,63,55.03702163696289
Case 4,64,55.785179138183594
Case 4,65,56.37502670288086
Case 4,66,56.12587928771973
Case 4,67,59.036970138549805
Case 4,68,57.43908882141113
Case 4,69,56.648969650268555
Case 4,70,127.69079208374023
Case 4,71,56.288957595825195
Case 4,72,59.90099906921387
Case 4,73,56.31685256958008
Case 4,74,62.99996376037598
Case 4,75,54.11815643310547
Case 4,76,55.83381652832031
Case 4,77,59.91506576538086
Case 4,78,144.96326446533203
Case 4,79,59.73196029663086
Case 4,80,56.929826736450195
Case 4,81,60.571908950805664
Case 4,82,57.10172653198242
Case 4,83,56.452274322509766
Case 4,84,54.679155349731445
Case 4,85,56.04696273803711
Case 4,86,123.56305122375488
Case 4,87,54.630279541015625
Case 4,88,60.392141342163086
Case 4,89,55.238962173461914
Case 4,90,56.72574043273926
Case 4,91,58.71915817260742
Case 4,92,56.550025939941406
Case 4,93,56.30612373352051
Case 4,94,128.0069351196289
Case 4,95,75.15287399291992
Case 4,96,61.31410598754883
Case 4,97,58.418989181518555
Case 4,98,65.17291069030762
Case 4,99,64.90397453308105
Case 4,100,54.22091484069824
